Name,Title,More info,Date
Lisa Biermann,Casting light upon Gravitational Wave Production sourced by Electroweak Phase Transitions with CP Violation in a Dark Sector with BSMPT,`Higgs Days 2023 <http://hdays.csic.es/HDays23/index.php>`_,06/09/2023
Lisa Biermann,Electroweak Phase Transitions and Gravitational Radiation in ‘CP in the Dark’ with BSMPT,`Higgs Hunting 2023 <https://indico.ijclab.in2p3.fr/event/9063/>`_,11/09/2023
Lisa Biermann,"Tracking Minima, Phase Transitions and Gravitational Waves with BSMPTv3",`CATCH22+2 <https://indico.cern.ch/event/1291893/overview>`_,04/05/2024
Lisa Biermann,First-Order Electroweak Phase Transitions Beyond the Standard Model and Gravitational Waves with BSMPTv3,BSM seminar,26/06/2024
João Viana,BSMPT v3 A Tool for Phase Transitions and Primordial Gravitational Waves in Extended Higgs Sectors,`BSM^2 - Beyond the Standard Model BrainStorming Meeting: Particle Physics and Cosmology interface <https://indico.cern.ch/event/1386108/contributions/6024835/>`_,14/07/2024
João Viana,Probing the early Universe using BSMPT v3,`Workshop on Multi Higgs models (2024) <http://cftp.tecnico.ulisboa.pt/~2hdmwork/index.php?n=Main.Program>`_,03/09/2024
Lisa Biermann,BSMPTv3,`Higgs Days 2024 <http://hdays.csic.es/HDays24/index.php/>`_,12/09/2024
Lisa Biermann,Phase Transitions and Gravitational Waves with BSMPTv3,`BLV 2024 <https://indico.scc.kit.edu/event/4294//>`_,10/10/2024
João Viana,"Probing the early Universe with BSMPT v3: CP in the Dark, a test case",`LHC Higgs Working Group WG3 (BSM) -- Extended Higgs Sector subgroup meeting <https://indico.cern.ch/event/1475594/>`_,19/11/2024
João Viana,BSMPT v3 A Tool for Phase Transitions and Primordial Gravitational Waves in Extended Higgs Sectors,`Asymptotic Safety meets Particle Physics and Friends <https://indico.cern.ch/event/1478205/>`_,18/12/2024
